Title,Date
"Mar de sangre","11-08-23"
"Trabajo incógnito: Parte 2: Proyecto Reinicio","11-08-23"
"Pablo Escobar, el patrón del mal: Episode 49","11-08-23"
"Pablo Escobar, el patrón del mal: Episode 48","11-08-23"
"Trabajo incógnito: Parte 2: Rontagio","11-08-23"
"Trabajo incógnito: Parte 2: Poder que mata","11-08-23"
"Pablo Escobar, el patrón del mal: Episode 47","11-08-23"
"Pablo Escobar, el patrón del mal: Episode 46","11-08-23"
"Todas las veces que nos enamoramos: El poder de las palabras","10-08-23"
"Todas las veces que nos enamoramos: Meritoria","10-08-23"
"Pablo Escobar, el patrón del mal: Episode 45","10-08-23"
"Pablo Escobar, el patrón del mal: Episode 44","10-08-23"
"Trabajo incógnito: Parte 2: Amor en un lugar inesperado","10-08-23"
"Pablo Escobar, el patrón del mal: Episode 43","10-08-23"
"Todas las veces que nos enamoramos: Campamento de verano","10-08-23"
"Vikingos: Temporada 2: La elección","10-08-23"
"Todas las veces que nos enamoramos: Jamás, siempre, nunca","10-08-23"
"Vikingos: Temporada 2: Deshuesado","10-08-23"
"Todas las veces que nos enamoramos: Se me olvidó que te olvidé","10-08-23"
"Todas las veces que nos enamoramos: Talento","09-08-23"
"Vikingos: Temporada 2: Águila de sangre","09-08-23"
"Vikingos: Temporada 2: Imperdonables","09-08-23"
"Vikingos: Temporada 2: Respuestas en sangre","09-08-23"
"Trabajo incógnito: Parte 2: Reagan y Myc","09-08-23"
"Todas las veces que nos enamoramos: Sonámbulos","08-08-23"
"Todas las veces que nos enamoramos: Meet cute","08-08-23"
"Outlander: Temporada 6: Denme libertad...","08-08-23"
"Heartstopper: Temporada 2: Lo perfecto","08-08-23"
"Vikingos: Temporada 2: Ojo por ojo","08-08-23"
"Vikingos: Temporada 2: Traición","08-08-23"
"Trabajo incógnito: Parte 2: Nosferatu","08-08-23"
"Heartstopper: Temporada 2: Las disculpas","07-08-23"
"Heartstopper: Temporada 2: Verdad o reto","07-08-23"
"Heartstopper: Temporada 2: El calor","07-08-23"
"Heartstopper: Temporada 2: El desafío","07-08-23"
"Heartstopper: Temporada 2: La promesa","07-08-23"
"Trabajo incógnito: Parte 2: Cómo Reagan recuperó la marcha","07-08-23"
"Trabajo incógnito: Parte 1: En la mente de Reagan","07-08-23"
"Vikingos: Temporada 2: Invasión","07-08-23"
"Vikingos: Temporada 2: Guerra entre hermanos","07-08-23"
"Vikingos: Temporada 1: Todos cambian","07-08-23"
"Heartstopper: Temporada 2: La familia","06-08-23"
"Pablo Escobar, el patrón del mal: Episode 42","06-08-23"
"Pablo Escobar, el patrón del mal: Episode 41","06-08-23"
"Pablo Escobar, el patrón del mal: Episode 40","06-08-23"
"Pablo Escobar, el patrón del mal: Episode 39","06-08-23"
"Heartstopper: Temporada 2: Salir del clóset","04-08-23"
"Pablo Escobar, el patrón del mal: Episode 38","04-08-23"
"Pablo Escobar, el patrón del mal: Episode 37","04-08-23"
"Pablo Escobar, el patrón del mal: Episode 36","04-08-23"
"Trabajo incógnito: Parte 1: El espía","04-08-23"
"Trabajo incógnito: Parte 1: Aguafiestas","04-08-23"
"Trabajo incógnito: Parte 1: Protocolo fantasma","04-08-23"
"Trabajo incógnito: Parte 1: Mi gran boda en la Tierra plana","03-08-23"
"Pablo Escobar, el patrón del mal: Episode 35","03-08-23"
